observation_date,NDX_USD,GOLD_USD,SP500_USD,USDJPY,RF_USD,NDX_JPY,GOLD_JPY,SP500_JPY
1986-02-03,0.009854810802678138,0.0,,-0.003900156006240274,0.0002777777777777778,0.0059162194968953585,-0.003900156006240274,-0.003900156006240274
1986-02-04,0.002681764004767384,0.0,,0.002610284521012751,0.00027698412698412697,0.005299048692850805,0.002610284521012751,0.002610284521012751
1986-02-05,0.008320950965824636,0.0,,-0.007289768289508003,0.00027817460317460316,0.0009705248718274717,-0.007289768289508003,-0.007289768289508003
1986-02-06,0.006778661951075682,0.0,,-0.0008916863362182781,0.00028174603174603173,0.005880931174617743,-0.0008916863362182781,-0.0008916863362182781
1986-02-07,0.00570843091334905,0.0,,0.004567408651827032,0.0002861111111111111,0.010301912301918126,0.004567408651827032,0.004567408651827032
1986-02-10,0.0051666424101295405,0.0,,-0.01672328194408146,0.00028571428571428574,-0.01164304275168071,-0.01672328194408146,-0.01672328194408146
1986-02-11,0.0009411424020848713,0.0,,-0.00372043582248216,0.0002821428571428571,-0.0027827948803040847,-0.00372043582248216,-0.00372043582248216
1986-02-12,0.002893099956603473,0.0,,-0.003894371832488641,0.0002821428571428571,-0.001012538682864772,-0.003894371832488641,-0.003894371832488641
1986-02-13,0.0036059425933938627,0.0,,-0.02367180805484137,0.00028174603174603173,-0.020151224642375065,-0.02367180805484137,-0.02367180805484137
1986-02-14,0.0071859729807415285,0.0,,-0.001645639056500392,0.0002785714285714286,0.005528508406445143,-0.001645639056500392,-0.001645639056500392
1986-02-18,0.004138127853881457,0.0,,-0.005219780219780201,0.0002785714285714286,-0.001103252483817374,-0.005219780219780201,-0.005219780219780201
1986-02-19,-0.007815830609634977,0.0,,-0.009113504556752305,0.00028095238095238097,-0.016858105558511527,-0.009113504556752305,-0.009113504556752305
1986-02-20,0.002148381552563805,0.0,,0.009476031215161607,0.0002821428571428571,0.011644770898379564,0.009476031215161607,0.009476031215161607
1986-02-21,0.008646562812633984,0.0,,0.010381004969630014,0.00027698412698412697,0.01911732779379216,0.010381004969630014,0.010381004969630014
1986-02-24,-0.006730428622033435,0.0,,-0.004536014865012428,0.0002785714285714286,-0.011235914162768368,-0.004536014865012428,-0.004536014865012428
1986-02-25,-0.005706134094151105,0.0,,-0.006587976942080798,0.0002797619047619047,-0.012256519156391255,-0.006587976942080798,-0.006587976942080798
1986-02-26,-0.0037302725968436645,0.0,,0.0011052777010225334,0.00028055555555555554,-0.0026291178829411788,0.0011052777010225334,0.0011052777010225334
1986-02-27,0.011880760368663701,0.0,,-0.005520287054926909,0.00027896825396825397,0.006294888106070928,-0.005520287054926909,-0.005520287054926909
